Instrumento,Volumen,Abrir,ValorExt,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Último,Cantidad,IV Bid,Precio máx. de compra (Bid),Referencia,Precio mín. de venta (Ask),IV Ask,Cantidad
BTC-7MAR26-59000-C,-,-,,0.81236,-8.32374,0.12706,-,,0.99845,-,0.5,-,0.13,0.133,0.151,460.68,9.5
BTC-7MAR26-59000-P,1.3,38.4,,-0.00148,-1.49071,0.12706,-,,-0.00155,0.0001,-,-,-,-,0.0001,152.63,6.4
BTC-7MAR26-60000-C,-,-,,0.82444,-16.1044,0.25534,-,,0.99665,-,0.5,-,0.1155,0.1183,0.151,561.08,9.3
BTC-7MAR26-60000-P,15.7,57.4,,-0.00319,-3.30543,0.25534,-,,-0.00335,0.0001,-,-,-,-,0.0001,136.47,1.4
BTC-7MAR26-61000-C,-,-,,0.83664,-21.18478,0.36716,-,,0.99497,-,0.5,-,0.1015,0.1037,0.1345,506.44,9.2
BTC-7MAR26-61000-P,19.1,48.9,,-0.00478,-4.70484,0.36716,-,,-0.00503,0.0001,-,-,-,0.0001,0.0001,120.4,1.1
BTC-7MAR26-62000-C,-,-,,0.84878,-24.48555,0.47843,0.00001,,0.99323,-,0.5,-,0.0855,0.089,0.1015,305.82,9.1
BTC-7MAR26-62000-P,46.7,126.6,,-0.00644,-5.78305,0.47843,0.00001,,-0.00677,0.0001,-,-,-,0.0001,0.0001,104.4,4.9
BTC-7MAR26-63000-C,-,-,,0.85737,-37.39221,0.80363,0.00001,,0.98775,-,0.5,-,0.0695,0.0744,0.11,466.09,8.9
BTC-7MAR26-63000-P,115,199.1,,-0.01164,-10.11639,0.80363,0.00001,,-0.01225,0.0001,-,-,-,0.0001,0.0002,97.01,1.5
BTC-7MAR26-64000-C,-,-,,0.86595,-43.80181,1.10636,0.00002,,0.98224,-,0.5,-,0.0565,0.0597,0.0935,411.01,8.8
BTC-7MAR26-64000-P,92.1,88.7,,-0.01685,-13.0232,1.10636,0.00002,,-0.01776,0.0005,5.7,72.37,0.0001,0.0002,0.0002,79.73,0.1
BTC-7MAR26-65000-C,-,-,,0.86742,-58.43381,1.75664,0.00004,,0.96922,-,0.5,-,0.042,0.0451,0.0825,396.05,8.8
BTC-7MAR26-65000-P,131.1,134.5,,-0.02917,-20.34815,1.75664,0.00004,,-0.03078,0.0009,2.5,62.26,0.0002,0.0003,0.0003,66.6,5.3
BTC-7MAR26-65500-C,-,-,,0.85819,-78.18261,2.51451,0.00006,,0.9522,-,0.5,-,0.035,0.0379,0.066,308.15,8.8
BTC-7MAR26-65500-P,27.1,30.9,,-0.0453,-31.52526,2.51451,0.00006,,-0.0478,0.0004,22.6,57.27,0.0003,0.0005,0.0006,65.66,32
BTC-7MAR26-66000-C,-,-,,0.83801,-105.34799,3.62698,0.0001,,0.92364,-,0.5,-,0.027,0.0309,0.0655,335.68,8.9
BTC-7MAR26-66000-P,129.5,284.5,,-0.07238,-50.95523,3.62698,0.0001,,-0.07636,0.0006,6.3,55.19,0.0006,0.0007,0.0008,59.08,0.3
BTC-7MAR26-66500-C,-,0.7,,0.80691,-129.95983,4.95006,0.00015,,0.88354,0.0235,0.5,-,0.022,0.0239,0.0545,287.68,9.2
BTC-7MAR26-66500-P,74.4,96.6,,-0.11037,-76.40202,4.95006,0.00015,,-0.11646,0.0012,8,50.83,0.001,0.0011,0.0013,54.91,9.9
BTC-7MAR26-67000-C,0.5,16.7,,0.74199,-168.27086,6.90616,0.00022,,0.80785,0.041,0.3,32.23,0.016,0.0174,0.02,71.49,0.2
BTC-7MAR26-67000-P,2168.8,2107.2,,-0.18217,-132.12683,6.90575,0.00022,,-0.19213,0.0012,6.8,46.36,0.0017,0.0019,0.0021,50.33,0.3
BTC-7MAR26-67500-C,0.3,17.9,,0.63551,-202.8126,8.93501,0.00031,,0.68853,0.014,0.6,41.36,0.011,0.0115,0.012,48.99,24
BTC-7MAR26-67500-P,165.7,139.6,,-0.29557,-202.8126,8.93501,0.00031,,-0.31147,0.0029,1.5,43.8,0.0031,0.0034,0.0037,47.6,6.9
BTC-7MAR26-68000-C,20.8,33.1,,0.48383,-217.83649,10.06743,0.00036,,0.52222,0.0095,5.6,37.87,0.0065,0.0068,0.0075,44.63,56.9
BTC-7MAR26-68000-P,244.1,167.1,,-0.45415,-217.83649,10.06743,0.00036,,-0.47778,0.0055,49.6,39.67,0.0055,0.006,0.0065,46.43,59.1
BTC-7MAR26-68500-C,37.7,44.2,,0.3159,-194.63268,9.26116,0.00034,,0.34003,0.0055,7.7,39.81,0.0032,0.0035,0.0037,43.49,6
BTC-7MAR26-68500-P,174.9,108.6,,-0.62909,-194.60589,9.25989,0.00034,,-0.66009,0.009,23.1,37.68,0.0095,0.0101,0.0105,45.06,0.5
BTC-7MAR26-69000-C,106.7,83.4,,0.17829,-111.83422,6.89359,0.00025,,0.19158,0.0018,4.5,40.83,0.0015,0.0016,0.0019,43.79,39.5
BTC-7MAR26-69000-P,430.9,281,,-0.77348,-145.86937,6.89359,0.00025,,-0.80842,0.014,10.5,29.93,0.0145,0.0156,0.0165,50.87,3.7
BTC-7MAR26-69500-C,75.1,103.2,,0.09126,-50.32062,4.36949,0.00016,,0.09797,0.001,32.8,41.23,0.0006,0.0007,0.0009,45.91,15.6
BTC-7MAR26-69500-P,203.1,153.9,,-0.86741,-95.14945,4.36904,0.00016,,-0.90205,0.024,0.2,-,0.021,0.022,0.024,66.42,0.5
BTC-7MAR26-70000-C,168.8,189.5,,0.04811,-25.16378,2.67381,0.00009,,0.05162,0.0005,32.9,44.47,0.0003,0.0004,0.0005,49.41,11.6
BTC-7MAR26-70000-P,117.4,79.4,,-0.91745,-62.01963,2.67381,0.00009,,-0.94838,0.0252,0.2,-,0.028,0.029,0.031,75.91,0.5
BTC-7MAR26-70500-C,133.4,129.7,,0.02792,-14.59992,1.71754,0.00005,,0.02995,0.0003,16.2,49.7,0.0002,0.0002,0.0003,53.35,8
BTC-7MAR26-70500-P,66.9,49.8,,-0.94454,-43.22026,1.71776,0.00005,,-0.97004,0.0315,8.2,-,0.034,0.0362,0.0385,89.91,0.4
BTC-7MAR26-71000-C,154.1,333.8,,0.02056,-11.58205,1.33027,0.00004,,0.02207,0.0002,0.5,57.86,0.0002,0.0002,0.0003,61.92,64.8
BTC-7MAR26-71000-P,29.9,26.6,,-0.95879,-37.54135,1.33044,0.00004,,-0.97792,0.039,56,-,0.0415,0.0435,0.0455,97.27,0.2
BTC-7MAR26-71500-C,21.5,42.8,,0.01695,-10.45008,1.12999,0.00003,,0.01821,0.0007,7.8,59.52,0.0001,0.0002,0.0003,70.25,77.1
BTC-7MAR26-71500-P,9.2,18.1,,-0.9693,-35.7353,1.12999,0.00003,,-0.98179,0.05,7.9,-,0.0245,0.0508,0.0545,128.83,0.4
BTC-7MAR26-72000-C,72.1,93,,0.01225,-7.80875,0.85508,0.00002,,0.01316,0.0001,2.6,66.7,0.0001,0.0001,0.0002,73.53,17.6
BTC-7MAR26-72000-P,69,92.5,,-0.9809,-29.06061,0.85518,0.00002,,-0.98684,0.0539,8.2,-,0.056,0.0582,0.0605,123.48,8.4
BTC-7MAR26-72500-C,86.9,84.2,,0.00592,-3.5034,0.45266,0.00001,,0.00636,0.0001,-,-,-,0.0001,0.0001,73.74,8
BTC-7MAR26-72500-P,0.2,16.8,,-0.99412,-15.4081,0.45266,0.00001,,-0.99364,0.0255,7.8,-,0.033,0.0654,0.0685,143.21,0.4
BTC-7MAR26-73000-C,75.6,97.2,,0.00392,-2.33616,0.31338,0.00001,,0.00421,0.0001,-,-,-,-,0.0001,80.65,7.2
BTC-7MAR26-73000-P,-,10.9,,-1.00303,-11.18185,0.31338,0.00001,,-0.99579,0.024,7.7,-,0.041,0.0728,0.076,156.08,0.4
BTC-7MAR26-73500-C,28.3,34.9,,0.00374,-2.42203,0.30078,0.00001,,0.00402,0.0001,-,-,-,-,0.0001,87.44,0.4
BTC-7MAR26-73500-P,-,1.4,,-1.0101,-11.70207,0.30078,0.00001,,-0.99598,0.0245,7.7,-,0.0595,0.0801,0.0835,168.8,0.4
BTC-7MAR26-74000-C,123.3,129.3,,0.00357,-2.49312,0.28893,0.00001,,0.00384,0.0001,-,-,-,-,0.0001,94.11,29
BTC-7MAR26-74000-P,-,7.6,,-1.01716,-12.15615,0.28893,0.00001,,-0.99616,0.035,7.6,-,0.0535,0.0875,0.091,181.39,0.4
BTC-7MAR26-74500-C,68.4,54.1,,0.0023,-1.58527,0.1945,-,,0.00248,0.0001,-,-,-,-,0.0001,100.69,20.4
BTC-7MAR26-74500-P,-,23.6,,-1.02533,-8.38748,0.1945,-,,-0.99752,0.0235,7.5,-,0.068,0.0948,0.098,186.52,0.4
BTC-7MAR26-75000-C,35.9,129,,0.00136,-0.91042,0.1205,-,,0.00146,0.0001,-,-,-,-,0.0001,107.18,20.1
BTC-7MAR26-75000-P,0.2,0.2,,-1.03317,-5.27136,0.1205,-,,-0.99854,0.0725,7.5,-,0.067,0.1021,0.107,219.91,0.4
BTC-7MAR26-75500-C,33.1,34,,0.00072,-0.46324,0.06738,-,,0.00078,0.0002,-,-,-,-,0.0001,113.57,17.2
